Date,stocks,gold,bonds,property
2011-07-07,135.3600,149.1500,106.5700,62.8400
2011-07-08,134.4000,150.2500,107.1200,62.7600
2011-07-11,131.9700,151.5900,107.4100,61.6700
2011-07-12,131.4000,152.7700,107.5000,61.8800
2011-07-13,131.8400,154.1400,107.7100,61.2700
2011-07-14,130.9300,154.5400,107.4400,60.7000
2011-07-15,131.6900,155.2000,107.5900,61.3700
2011-07-18,130.6100,156.5700,107.4300,60.9400
2011-07-19,132.7300,154.6600,107.6600,61.9200
2011-07-20,132.6500,156.0200,107.4900,62.3700
2011-07-21,134.4900,154.8300,107.3200,62.8700
2011-07-22,134.5800,156.1200,107.5500,63.1800
2011-07-25,133.8300,157.3400,107.2400,62.5900
2011-07-26,133.3300,157.7700,107.4900,62.7300
2011-07-27,130.6000,157.1900,107.3100,60.9700
2011-07-28,130.2200,157.3200,107.5200,61.0300
2011-07-29,129.3300,158.2900,108.1600,61.0400
2011-08-01,128.7800,157.7200,108.1200,60.1200
2011-08-02,125.4900,161.5200,108.5800,58.2000
2011-08-03,126.1700,161.4900,108.6900,57.7200
2011-08-04,120.2600,160.6400,109.2700,54.9000
2011-08-05,120.0800,161.7500,108.5500,53.5300
2011-08-08,112.2600,167.1200,108.6000,48.8800
2011-08-09,117.4800,168.6100,109.2400,53.3300
2011-08-10,112.2900,174.5800,110.1300,52.1000
2011-08-11,117.3300,170.7500,108.7600,54.8000
2011-08-12,118.1200,169.9700,109.2400,54.7900
2011-08-15,120.6200,171.8000,109.4100,56.7900
2011-08-16,119.5900,173.9200,109.6400,56.6200
2011-08-17,119.6700,174.4200,109.8200,56.7800
2011-08-18,114.5100,177.7200,109.9800,54.2500
2011-08-19,112.6400,179.9500,110.0300,53.2100
2011-08-22,112.7300,184.5900,109.8900,53.2700
2011-08-23,116.4400,177.6700,109.6300,54.5800
2011-08-24,118.0800,171.6500,109.0100,55.3000
2011-08-25,116.2800,172.3600,109.2300,54.2700
2011-08-26,117.9700,177.4700,109.3800,54.9300
2011-08-29,121.3600,173.8900,109.2600,56.8100
2011-08-30,121.6800,179.1000,109.6000,56.9700
2011-08-31,122.2200,177.7200,109.5000,57.6100
2011-09-01,120.9400,177.8700,109.6200,56.7800
2011-09-02,117.8500,183.2400,109.9500,55.4400
2011-09-06,116.9900,182.9000,110.2400,55.2000
2011-09-07,120.2900,177.0800,109.9800,57.2800
2011-09-08,119.0400,181.8100,110.0100,56.8400
2011-09-09,115.9200,180.7000,110.1600,55.0600
2011-09-12,116.6700,176.6700,109.9400,55.2400
2011-09-13,117.7400,178.5400,109.9800,55.3700
2011-09-14,119.3700,177.2100,110.0000,55.7300
2011-09-15,121.4300,174.4000,109.6800,56.6500
2011-09-16,121.5200,176.0300,109.8400,57.2000
2011-09-19,120.3100,173.3100,110.0800,55.9500
2011-09-20,120.1700,175.7800,110.3000,55.9200
2011-09-21,116.6300,173.5900,110.4800,52.9700
2011-09-22,112.8600,169.0500,110.8000,51.6800
2011-09-23,113.5400,159.8000,110.2300,51.5600
2011-09-26,116.2400,157.5800,109.9800,52.2800
2011-09-27,117.5400,160.6300,109.8300,52.8000
2011-09-28,115.1400,156.2200,109.7400,51.4600
2011-09-29,116.0500,157.7000,109.7000,52.2600
2011-09-30,113.1500,158.0600,110.1100,50.8700
2011-10-03,109.9300,160.9600,110.3400,48.4700
2011-10-04,112.3400,157.6400,110.0000,50.3800
2011-10-05,114.4200,159.4600,109.6300,49.9500
2011-10-06,116.4900,160.4900,109.4500,51.3200
2011-10-07,115.7100,159.1800,109.2300,49.8900
2011-10-10,119.5800,163.2700,109.0100,52.3800
2011-10-11,119.7000,162.1000,109.2700,51.3400
2011-10-12,120.7500,163.2600,109.0600,52.1800
2011-10-13,120.5100,162.3000,109.1200,51.8400
2011-10-14,122.5700,163.4000,108.9400,53.0400
2011-10-17,120.2300,162.6200,109.3700,51.8900
2011-10-18,122.5800,161.8400,109.2500,53.7200
2011-10-19,121.1300,159.8700,109.4100,53.1000
2011-10-20,121.6600,157.7700,109.3500,53.4000
2011-10-21,123.9700,159.5200,109.4100,55.1600
2011-10-24,125.4900,161.0200,109.2400,56.5300
2011-10-25,123.0500,165.5900,109.8000,55.6100
2011-10-26,124.3000,167.4000,109.5000,56.0200
2011-10-27,128.6300,169.5500,109.0800,58.6800
2011-10-28,128.6000,169.6200,109.5100,58.8000
2011-10-31,125.5000,167.3400,110.0300,58.1400
2011-11-01,122.0000,167.3800,110.2700,56.2700
2011-11-02,123.9900,169.0600,110.2700,57.3500
2011-11-03,126.2500,171.7200,110.0300,58.1400
2011-11-04,125.4800,170.8500,110.0000,57.6700
2011-11-07,126.2600,174.9800,110.0900,57.6800
2011-11-08,127.8800,173.5300,109.9400,58.4300
2011-11-09,123.1600,172.0700,110.1300,55.7600
2011-11-10,124.3200,171.1400,109.9200,55.7500
